well_id,row,col,strain_trt_rep_id,strain_trt_id,plate_id
A1,A,1,blank_hiye_1,blank_hiye,CSH1
A2,A,2,blank_hiye_2,blank_hiye,CSH1
A3,A,3,blank_hiye_3,blank_hiye,CSH1
A4,A,4,blank_hiye_4,blank_hiye,CSH1
A5,A,5,blank_hiye_5,blank_hiye,CSH1
A6,A,6,blank_hiye_6,blank_hiye,CSH1
A7,A,7,blank_hiye_7,blank_hiye,CSH1
A8,A,8,blank_hiye_8,blank_hiye,CSH1
A9,A,9,blank_hiye_9,blank_hiye,CSH1
A10,A,10,blank_hiye_10,blank_hiye,CSH1
A11,A,11,blank_hiye_11,blank_hiye,CSH1
A12,A,12,blank_hiye_12,blank_hiye,CSH1
B1,B,1,blank_hiye_13,blank_hiye,CSH1
B2,B,2,430_hiye_1,430_hiye,CSH2
B3,B,3,432_hiye_1,432_hiye,CSH3
B4,B,4,466_hiye_1,466_hiye,CSH4
B5,B,5,470_hiye_1,470_hiye,CSH5
B6,B,6,476_hiye_1,476_hiye,CSH6
B7,B,7,477_hiye_1,477_hiye,CSH7
B8,B,8,478_hiye_1,478_hiye,CSH8
B9,B,9,480_hiye_1,480_hiye,CSH9
B10,B,10,485_hiye_1,485_hiye,CSH10
B11,B,11,583_hiye_1,583_hiye,CSH11
B12,B,12,blank_hiye_14,blank_hiye,CSH1
C1,C,1,blank_hiye_15,blank_hiye,CSH1
C2,C,2,430_hiye_2,430_hiye,CSH2
C3,C,3,432_hiye_2,432_hiye,CSH3
C4,C,4,466_hiye_2,466_hiye,CSH4
C5,C,5,470_hiye_2,470_hiye,CSH5
C6,C,6,476_hiye_2,476_hiye,CSH6
C7,C,7,477_hiye_2,477_hiye,CSH7
C8,C,8,478_hiye_2,478_hiye,CSH8
C9,C,9,480_hiye_2,480_hiye,CSH9
C10,C,10,485_hiye_2,485_hiye,CSH10
C11,C,11,583_hiye_2,583_hiye,CSH11
C12,C,12,blank_hiye_16,blank_hiye,CSH1
D1,D,1,blank_hiye_17,blank_hiye,CSH1
D2,D,2,430_hiye_3,430_hiye,CSH2
D3,D,3,432_hiye_3,432_hiye,CSH3
D4,D,4,466_hiye_3,466_hiye,CSH4
D5,D,5,470_hiye_3,470_hiye,CSH5
D6,D,6,476_hiye_3,476_hiye,CSH6
D7,D,7,477_hiye_3,477_hiye,CSH7
D8,D,8,478_hiye_3,478_hiye,CSH8
D9,D,9,480_hiye_3,480_hiye,CSH9
D10,D,10,485_hiye_3,485_hiye,CSH10
D11,D,11,583_hiye_3,583_hiye,CSH11
D12,D,12,blank_hiye_18,blank_hiye,CSH1
E1,E,1,blank_lowye_1,blank_lowye,CSH1
E2,E,2,430_lowye_1,430_lowye,CSH12
E3,E,3,432_lowye_1,432_lowye,CSH13
E4,E,4,466_lowye_1,466_lowye,CSH14
E5,E,5,470_lowye_1,470_lowye,CSH15
E6,E,6,476_lowye_1,476_lowye,CSH16
E7,E,7,477_lowye_1,477_lowye,CSH17
E8,E,8,478_lowye_1,478_lowye,CSH18
E9,E,9,480_lowye_1,480_lowye,CSH19
E10,E,10,485_lowye_1,485_lowye,CSH20
E11,E,11,583_lowye_1,583_lowye,CSH21
E12,E,12,blank_lowye_2,blank_lowye,CSH1
F1,F,1,blank_lowye_3,blank_lowye,CSH1
F2,F,2,430_lowye_2,430_lowye,CSH12
F3,F,3,432_lowye_2,432_lowye,CSH13
F4,F,4,466_lowye_2,466_lowye,CSH14
F5,F,5,470_lowye_2,470_lowye,CSH15
F6,F,6,476_lowye_2,476_lowye,CSH16
F7,F,7,477_lowye_2,477_lowye,CSH17
F8,F,8,478_lowye_2,478_lowye,CSH18
F9,F,9,480_lowye_2,480_lowye,CSH19
F10,F,10,485_lowye_2,485_lowye,CSH20
F11,F,11,583_lowye_2,583_lowye,CSH21
F12,F,12,blank_lowye_4,blank_lowye,CSH1
G1,G,1,blank_lowye_5,blank_lowye,CSH1
G2,G,2,430_lowye_3,430_lowye,CSH12
G3,G,3,432_lowye_3,432_lowye,CSH13
G4,G,4,466_lowye_3,466_lowye,CSH14
G5,G,5,470_lowye_3,470_lowye,CSH15
G6,G,6,476_lowye_3,476_lowye,CSH16
G7,G,7,477_lowye_3,477_lowye,CSH17
G8,G,8,478_lowye_3,478_lowye,CSH18
G9,G,9,480_lowye_3,480_lowye,CSH19
G10,G,10,485_lowye_3,485_lowye,CSH20
G11,G,11,583_lowye_3,583_lowye,CSH21
G12,G,12,blank_lowye_6,blank_lowye,CSH1
H1,H,1,blank_lowye_7,blank_lowye,CSH1
H2,H,2,blank_lowye_8,blank_lowye,CSH1
H3,H,3,blank_lowye_9,blank_lowye,CSH1
H4,H,4,blank_lowye_10,blank_lowye,CSH1
H5,H,5,blank_lowye_11,blank_lowye,CSH1
H6,H,6,blank_lowye_12,blank_lowye,CSH1
H7,H,7,blank_lowye_13,blank_lowye,CSH1
H8,H,8,blank_lowye_14,blank_lowye,CSH1
H9,H,9,blank_lowye_15,blank_lowye,CSH1
H10,H,10,blank_lowye_16,blank_lowye,CSH1
H11,H,11,blank_lowye_17,blank_lowye,CSH1
H12,H,12,blank_lowye_18,blank_lowye,CSH1
